,Date,Ticker,Price,Price/Book,Profit Margin,Operating Margin,Return on Equity,Forward P/E,PEG Ratio,Quarterly Earnings Growth,Revenue Growth,Current Ratio,Cash Flow,Beta,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Held by Insiders,Held by Institutions,Short Ratio
0,06/22/17,0700.HK,280.4,92.60,27.37,32.06,0.27914,31.25,0.96,57.60,54.90,1.40,11060000000.0,0.820795,283.800,167.000,267.094,223.755,0.22,0.03,N/A,8.16,N/A,N/A,N/A
1,06/22/17,1211.HK,47.95,19.13,4.61,7.63,0.11508001,N/A,N/A,28.80,3.80,1.06,442850000.0,1.37422,57.250,40.050,45.728,44.397,0.85,0.16,N/A,19.43,N/A,N/A,N/A
2,06/22/17,1357.HK,8.42,40.57,0.00,36.88,7.0766997,N/A,N/A,N/A,77.00,11.43,101840000.0,8.42,23.050,7.460,9.584,10.199,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,06/22/17,1448.HK,4.75,27.10,26.74,39.91,0.15796,N/A,N/A,28.20,20.30,4.09,66420000.0,0.2674,5.810,4.200,4.929,4.698,N/A,0.15,N/A,N/A,N/A,N/A,N/A
4,06/22/17,2120.HK,35.7,17.60,16.57,16.58,0.06543,N/A,N/A,52.80,23.70,2.99,7340000.0,35.7,43.900,32.900,36.282,35.912,N/A,0.10,N/A,N/A,N/A,N/A,N/A
5,06/22/17,2202.HK,20.95,13.89,8.54,14.79,0.1876,6.94,0.36,16.50,27.20,1.23,3520000000.0,20.95,24.100,14.560,20.323,20.169,N/A,0.55,N/A,N/A,N/A,N/A,N/A
6,06/22/17,2318.HK,51.8,15.92,7.74,13.45,0.15585,N/A,N/A,11.40,26.60,4.94,9840000000.0,0.876694,52.950,32.500,48.646,43.275,0.90,0.21,N/A,15.35,N/A,N/A,N/A
7,06/22/17,A2M.AX,3.87,22.43,12.71,21.34,0.42029,N/A,N/A,289.70,84.00,3.12,50110000.0,3.87,3.95,1.59,3.32,2.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,06/22/17,AU8U.SI,1.58,1.02,49.03,59.08,0.07311,N/A,N/A,3.50,8.20,2.48,121050000.0,1.58,1.66,1.33,1.57,1.47,N/A,6.39,N/A,N/A,N/A,N/A,N/A
9,06/22/17,BABA,143.29,8.82,27.59,30.90,0.14448,24.12,52.39,98.50,59.50,1.95,11820000000.0,140.88,148.29,73.30,126.57,108.00,N/A,N/A,N/A,N/A,N/A,N/A,12.82
10,06/22/17,BEN.AX,10.53,0.95,29.27,36.97,0.08046999,11.97,3.22,0.10,0.90,N/A,4930000000.0,0.639056,13.39,8.97,11.41,12.06,8.69,6.46,N/A,120.53,N/A,N/A,N/A
11,06/22/17,CWP.AX,5.02,1.33,18.56,28.32,0.09692000,N/A,N/A,83.30,26.50,1.79,16810000.0,5.02,5.88,4.20,5.20,5.31,N/A,5.68,N/A,N/A,N/A,N/A,N/A
12,06/22/17,IAG.AX,6.355,2.40,7.41,15.07,0.09736,17.27,2.35,4.30,1.40,0.46,233500000.0,1.04115,6.58,5.11,6.34,6.08,5.99,4.09,N/A,150.86,N/A,N/A,N/A
13,06/22/17,LMT,282.99,55.04,10.78,10.49,1.55817,19.99,3.89,15.00,6.60,1.22,5190000000.0,0.572772,284.98,228.50,276.79,265.91,2.57,2.45,3.25,56.06,0.03,83.90,2.39
14,06/22/17,MULE,26.89,13.17,24.32,23.72,30.00,74.14,27.10,N/A,56.00,2.73,2950000.0,26.81,29.00,21.17,24.63,23.90,N/A,N/A,N/A,N/A,N/A,N/A,1.64
15,06/22/17,TSLA,375.8,12.58,8.46,7.43,0.24903,419.86,1.85,N/A,135.10,1.12,55970000.0,1.1761,384.25,178.19,336.28,275.80,N/A,N/A,N/A,N/A,22.28,62.00,5.27
